pde,r,condition,seed,input_step_index,reference_scope,evaluation_scope,weighting,n_modes,mode_min,mode_max,rmse_reference,rmse_identity,reference_advantage,fraction_modes_closer_reference,magnitude_rmse_reference,phase_mae_reference
heat,0.1,heat_r0.1,100,0,full_one_step,in_support_k1_5,uniform,5,1,5,0.004403703353095661,0.008948722777622717,0.3403890334259822,1.0,0.004403675136205865,1.2692704985095522e-05
heat,0.1,heat_r0.1,100,0,full_one_step,near_support_k6_8,uniform,3,6,8,0.039542554959821584,0.007608786094171728,-0.677261094845262,0.0,0.03954250810433176,5.392411853931367e-05
heat,0.1,heat_r0.1,100,0,full_one_step,spectral_extrapolation_k9_nyquist,uniform,24,9,32,0.2795879367503031,0.009301100855397738,-0.9356077964571805,0.0,0.27958793524028747,1.9892130994495536e-05
heat,0.1,heat_r0.1,100,0,full_one_step,all_non_dc_k1_nyquist,uniform,32,1,32,0.24243902255292443,0.009100704857950967,-0.9276400197167624,0.15625,0.24243902045033164,2.1957719512853486e-05
heat,0.1,heat_r0.1,100,0,full_one_step,empirical_training_spectrum_k1_5,empirical_training_power,5,1,5,0.0017950022135787107,0.004194855057699848,0.4006527593951966,1.0,0.0017949531021459505,9.778082594891594e-06
heat,0.1,heat_r0.1,101,0,full_one_step,in_support_k1_5,uniform,5,1,5,0.0044681635505626534,0.009048485539040446,0.33886519936371956,1.0,0.004467526078967001,5.598173402958396e-05
heat,0.1,heat_r0.1,101,0,full_one_step,near_support_k6_8,uniform,3,6,8,0.04059749673415057,0.006846555386204198,-0.711384037398996,0.0,0.04059733245034069,8.073176932617592e-05
heat,0.1,heat_r0.1,101,0,full_one_step,spectral_extrapolation_k9_nyquist,uniform,24,9,32,0.28259293980602473,0.005907270273482669,-0.9590484161390754,0.0,0.28259293893331,1.1194830334574338e-05
heat,0.1,heat_r0.1,101,0,full_one_step,all_non_dc_k1_nyquist,uniform,32,1,32,0.2450545069295737,0.006584787450858639,-0.9476648711237947,0.15625,0.24505450180723531,2.4711872067382243e-05
heat,0.1,heat_r0.1,101,0,full_one_step,empirical_training_spectrum_k1_5,empirical_training_power,5,1,5,0.0017552197700945917,0.0043494770158651426,0.4249608681199554,1.0,0.0017549217877926761,1.5722094567986386e-05
heat,0.1,heat_r0.1,102,0,full_one_step,in_support_k1_5,uniform,5,1,5,0.004731153223472518,0.008653167819133915,0.2930305230408335,1.0,0.004730811250949772,3.6263863260210685e-05
heat,0.1,heat_r0.1,102,0,full_one_step,near_support_k6_8,uniform,3,6,8,0.04100491313041541,0.006132764090490622,-0.7397935387545707,0.0,0.04100474328648375,8.369299760299497e-05
heat,0.1,heat_r0.1,102,0,full_one_step,spectral_extrapolation_k9_nyquist,uniform,24,9,32,0.28147107196674087,0.007270360629097817,-0.9496410295970625,0.0,0.2814710714948379,8.411901889306653e-06
heat,0.1,heat_r0.1,102,0,full_one_step,all_non_dc_k1_nyquist,uniform,32,1,32,0.24409138095798055,0.007407374705636611,-0.9410941442943433,0.15625,0.24409137683933319,1.982137357666869e-05
heat,0.1,heat_r0.1,102,0,full_one_step,empirical_training_spectrum_k1_5,empirical_training_power,5,1,5,0.0019522444981770603,0.0041092184284789975,0.3558503873407142,1.0,0.0019520293764537801,1.670456082402975e-05
heat,0.1,heat_r0.1,103,0,full_one_step,in_support_k1_5,uniform,5,1,5,0.003794596710489144,0.0095883713522624,0.4329215025102625,1.0,0.0037945476182031854,1.5938538713980294e-05
heat,0.1,heat_r0.1,103,0,full_one_step,near_support_k6_8,uniform,3,6,8,0.03866853881841747,0.008568718383723466,-0.6372050838152769,0.0,0.03866853796253721,8.00338162078757e-06
heat,0.1,heat_r0.1,103,0,full_one_step,spectral_extrapolation_k9_nyquist,uniform,24,9,32,0.279832514410951,0.008971680328970737,-0.9378701522181835,0.0,0.27983251420396993,6.086374711022557e-06
heat,0.1,heat_r0.1,103,0,full_one_step,all_non_dc_k1_nyquist,uniform,32,1,32,0.24263574998218485,0.00903420285700557,-0.9282059478687299,0.15625,0.242635749670402,7.805494734275173e-06
heat,0.1,heat_r0.1,103,0,full_one_step,empirical_training_spectrum_k1_5,empirical_training_power,5,1,5,0.0015222197237050787,0.004487761720907815,0.49343613196359026,1.0,0.0015221802321776718,7.819310608927817e-06
heat,0.1,heat_r0.1,104,0,full_one_step,in_support_k1_5,uniform,5,1,5,0.0072661406594618115,0.006673634461753819,-0.042504717081571025,0.8,0.007266112923215185,1.6820842867919684e-05
heat,0.1,heat_r0.1,104,0,full_one_step,near_support_k6_8,uniform,3,6,8,0.03943587079611481,0.008102349982682673,-0.6591227080044022,0.0,0.03943586782436862,1.2447902784285872e-05
heat,0.1,heat_r0.1,104,0,full_one_step,spectral_extrapolation_k9_nyquist,uniform,24,9,32,0.2822494909371,0.006262898105046439,-0.9565848931074392,0.0,0.2822494908519425,6.556010109057288e-06
heat,0.1,heat_r0.1,104,0,full_one_step,all_non_dc_k1_nyquist,uniform,32,1,32,0.2447501373173012,0.006521609834216158,-0.9480911808975993,0.125,0.24475013707009613,8.712255165932218e-06
heat,0.1,heat_r0.1,104,0,full_one_step,empirical_training_spectrum_k1_5,empirical_training_power,5,1,5,0.0028549343812471883,0.0035762492602508973,0.11215896158668628,0.9722794641605221,0.002854916020506471,5.030237348211073e-06
heat,0.1,heat_r0.1,105,0,full_one_step,in_support_k1_5,uniform,5,1,5,0.005297790237919812,0.008234261192079647,0.21700116714380183,1.0,0.005297774161829753,8.687503118939812e-06
heat,0.1,heat_r0.1,105,0,full_one_step,near_support_k6_8,uniform,3,6,8,0.039449167710125514,0.007870627051549933,-0.6673431450330637,0.0,0.03944916285573275,1.594427877004189e-05
heat,0.1,heat_r0.1,105,0,full_one_step,spectral_extrapolation_k9_nyquist,uniform,24,9,32,0.28050575272278644,0.008273604251672426,-0.9426994759019135,0.0,0.2805057525224856,7.51354419844304e-06
heat,0.1,heat_r0.1,105,0,full_one_step,all_non_dc_k1_nyquist,uniform,32,1,32,0.24323422988833843,0.008230500161308779,-0.9345395264005111,0.15625,0.24323422958657218,8.487356645858054e-06
heat,0.1,heat_r0.1,105,0,full_one_step,empirical_training_spectrum_k1_5,empirical_training_power,5,1,5,0.0020970595110920264,0.004025667909527549,0.3149917129971403,1.0,0.0020970448037299486,3.8020461291522513e-06
heat,0.1,heat_r0.1,106,0,full_one_step,in_support_k1_5,uniform,5,1,5,0.003360322453448289,0.010000393826636958,0.4969846851015013,1.0,0.003360089181697185,3.0915332427729656e-05
