pde,r,seed,checkpoint,validation_path,test_path,n_validation_pairs,n_test_pairs,n_layers,n_heads,head_dispersion,patched_noop_max_abs,mse_original,mse_persistence,skill,target,substitution,preserves_head_identity,calibration_split,evaluation_split,mse,excess,ratio
heat,0.1,100,C:\projects\stencil-transformers\final_checkpoints\heat_new_0.1\seed_100\best_model.pt,C:\projects\stencil-transformers\data\heat_new_0.1\seed_100\val.npy,C:\projects\stencil-transformers\data\heat_new_0.1\seed_100\test.npy,2048,2048,4,4,0.0061110653016312275,1.1920928955078125e-07,2.5760634545651806e-09,5.375258069761912e-07,0.9952075539050736,all,frozen_per_head_validation,True,validation,test,9.41819739419536e-08,0.17124208693762114,36.56042469569166
heat,0.1,100,C:\projects\stencil-transformers\final_checkpoints\heat_new_0.1\seed_100\best_model.pt,C:\projects\stencil-transformers\data\heat_new_0.1\seed_100\val.npy,C:\projects\stencil-transformers\data\heat_new_0.1\seed_100\test.npy,2048,2048,4,4,0.0061110653016312275,1.1920928955078125e-07,2.5760634545651806e-09,5.375258069761912e-07,0.9952075539050736,all,frozen_layer_mean_validation,False,validation,test,2.0669177747123513e-07,0.38156054187998373,80.23551481425875
heat,0.1,100,C:\projects\stencil-transformers\final_checkpoints\heat_new_0.1\seed_100\best_model.pt,C:\projects\stencil-transformers\data\heat_new_0.1\seed_100\val.npy,C:\projects\stencil-transformers\data\heat_new_0.1\seed_100\test.npy,2048,2048,4,4,0.0061110653016312275,1.1920928955078125e-07,2.5760634545651806e-09,5.375258069761912e-07,0.9952075539050736,all,analytical_stencil,False,validation,test,1.5912239362592118e-05,29.740482151468466,6176.959396863141
heat,0.1,100,C:\projects\stencil-transformers\final_checkpoints\heat_new_0.1\seed_100\best_model.pt,C:\projects\stencil-transformers\data\heat_new_0.1\seed_100\val.npy,C:\projects\stencil-transformers\data\heat_new_0.1\seed_100\test.npy,2048,2048,4,4,0.0061110653016312275,1.1920928955078125e-07,2.5760634545651806e-09,5.375258069761912e-07,0.9952075539050736,all,original,True,none,test,2.5760634545651806e-09,0.0,1.0
heat,0.1,101,C:\projects\stencil-transformers\final_checkpoints\heat_new_0.1\seed_101\best_model.pt,C:\projects\stencil-transformers\data\heat_new_0.1\seed_101\val.npy,C:\projects\stencil-transformers\data\heat_new_0.1\seed_101\test.npy,2048,2048,4,4,0.0071352905734939015,1.1920928955078125e-07,1.851161682275837e-09,6.212768539626268e-07,0.9970203916813112,all,frozen_per_head_validation,True,validation,test,2.280223061756903e-08,0.03382337735808798,12.317795271959032
heat,0.1,101,C:\projects\stencil-transformers\final_checkpoints\heat_new_0.1\seed_101\best_model.pt,C:\projects\stencil-transformers\data\heat_new_0.1\seed_101\val.npy,C:\projects\stencil-transformers\data\heat_new_0.1\seed_101\test.npy,2048,2048,4,4,0.0071352905734939015,1.1920928955078125e-07,1.851161682275837e-09,6.212768539626268e-07,0.9970203916813112,all,frozen_layer_mean_validation,False,validation,test,1.3876619336938845e-07,0.22103544201254266,74.96168200650517
heat,0.1,101,C:\projects\stencil-transformers\final_checkpoints\heat_new_0.1\seed_101\best_model.pt,C:\projects\stencil-transformers\data\heat_new_0.1\seed_101\val.npy,C:\projects\stencil-transformers\data\heat_new_0.1\seed_101\test.npy,2048,2048,4,4,0.0071352905734939015,1.1920928955078125e-07,1.851161682275837e-09,6.212768539626268e-07,0.9970203916813112,all,analytical_stencil,False,validation,test,1.3254776067839202e-06,2.136860743100358,716.0247640575428
heat,0.1,101,C:\projects\stencil-transformers\final_checkpoints\heat_new_0.1\seed_101\best_model.pt,C:\projects\stencil-transformers\data\heat_new_0.1\seed_101\val.npy,C:\projects\stencil-transformers\data\heat_new_0.1\seed_101\test.npy,2048,2048,4,4,0.0071352905734939015,1.1920928955078125e-07,1.851161682275837e-09,6.212768539626268e-07,0.9970203916813112,all,original,True,none,test,1.851161682275837e-09,0.0,1.0
heat,0.1,102,C:\projects\stencil-transformers\final_checkpoints\heat_new_0.1\seed_102\best_model.pt,C:\projects\stencil-transformers\data\heat_new_0.1\seed_102\val.npy,C:\projects\stencil-transformers\data\heat_new_0.1\seed_102\test.npy,2048,2048,4,4,0.006607191090528019,1.1920928955078125e-07,2.9376418632723333e-09,6.820714020250307e-07,0.9956930581541014,all,frozen_per_head_validation,True,validation,test,6.794861306946842e-08,0.09572631345953345,23.13032569388097
heat,0.1,102,C:\projects\stencil-transformers\final_checkpoints\heat_new_0.1\seed_102\best_model.pt,C:\projects\stencil-transformers\data\heat_new_0.1\seed_102\val.npy,C:\projects\stencil-transformers\data\heat_new_0.1\seed_102\test.npy,2048,2048,4,4,0.006607191090528019,1.1920928955078125e-07,2.9376418632723333e-09,6.820714020250307e-07,0.9956930581541014,all,frozen_layer_mean_validation,False,validation,test,1.6260145846436203e-07,0.23509921898605132,55.35101487260093
heat,0.1,102,C:\projects\stencil-transformers\final_checkpoints\heat_new_0.1\seed_102\best_model.pt,C:\projects\stencil-transformers\data\heat_new_0.1\seed_102\val.npy,C:\projects\stencil-transformers\data\heat_new_0.1\seed_102\test.npy,2048,2048,4,4,0.006607191090528019,1.1920928955078125e-07,2.9376418632723333e-09,6.820714020250307e-07,0.9956930581541014,all,analytical_stencil,False,validation,test,1.1342272301817502e-05,16.696761853295865,3861.0126181899454
heat,0.1,102,C:\projects\stencil-transformers\final_checkpoints\heat_new_0.1\seed_102\best_model.pt,C:\projects\stencil-transformers\data\heat_new_0.1\seed_102\val.npy,C:\projects\stencil-transformers\data\heat_new_0.1\seed_102\test.npy,2048,2048,4,4,0.006607191090528019,1.1920928955078125e-07,2.9376418632723333e-09,6.820714020250307e-07,0.9956930581541014,all,original,True,none,test,2.9376418632723333e-09,0.0,1.0
heat,0.1,103,C:\projects\stencil-transformers\final_checkpoints\heat_new_0.1\seed_103\best_model.pt,C:\projects\stencil-transformers\data\heat_new_0.1\seed_103\val.npy,C:\projects\stencil-transformers\data\heat_new_0.1\seed_103\test.npy,2048,2048,4,4,0.006272925253342655,1.1920928955078125e-07,2.2070528677212153e-09,6.068244715606852e-07,0.9963629468303331,all,frozen_per_head_validation,True,validation,test,8.517339955549375e-08,0.1372212313484544,38.59146321376315
heat,0.1,103,C:\projects\stencil-transformers\final_checkpoints\heat_new_0.1\seed_103\best_model.pt,C:\projects\stencil-transformers\data\heat_new_0.1\seed_103\val.npy,C:\projects\stencil-transformers\data\heat_new_0.1\seed_103\test.npy,2048,2048,4,4,0.006272925253342655,1.1920928955078125e-07,2.2070528677212153e-09,6.068244715606852e-07,0.9963629468303331,all,frozen_layer_mean_validation,False,validation,test,1.0800505628738577e-07,0.17498338643364617,48.93632493674749
