pde,r,seed,target,substitution,mse,mse_original,mse_persistence,excess,ratio,skill
heat,0.1,100,all,stencil,1.574135382043096e-05,2.7901472174352016e-09,5.896895913792832e-07,26.81645694125642,5641.764607281529,0.9952684475727153
heat,0.1,100,all,acf,1.344455357710217e-06,2.7901472174352016e-09,5.896895913792832e-07,2.2860222885520294,481.8582149747948,0.9952684475727153
heat,0.1,100,all,xcorr,1.344472662090368e-06,2.7901472174352016e-09,5.896895913792832e-07,2.286051772955743,481.86441693433403,0.9952684475727153
heat,0.1,100,all,uniform,8.664055037854723e-07,2.7901472174352016e-09,5.896895913792832e-07,1.4714877738576964,310.5232219903801,0.9952684475727153
heat,0.1,100,all,random,1.2386103342976185e-06,2.7901472174352016e-09,5.896895913792832e-07,2.1056761926995176,443.9229322946591,0.9952684475727153
heat,0.1,100,all,identity,1.5834857535423907e-05,2.7901472174352016e-09,5.896895913792832e-07,26.975775059416303,5675.276715319648,0.9952684475727153
heat,0.1,100,all,frozen,2.0892844032616154e-07,2.7901472174352016e-09,5.896895913792832e-07,0.35123272846699105,74.8807944686932,0.9952684475727153
heat,0.1,100,all,original,2.7901472174352016e-09,2.7901472174352016e-09,5.896895913792832e-07,0.0,1.0,0.9952684475727153
heat,0.1,100,layer0,stencil,4.006808644874127e-07,2.7901472174352016e-09,5.896895913792832e-07,0.6779538151347303,143.60563556776484,0.9952684475727153
heat,0.1,100,layer0,acf,4.859269603363359e-08,2.7901472174352016e-09,5.896895913792832e-07,0.07804156107458761,17.41581796472433,0.9952684475727153
heat,0.1,100,layer0,xcorr,4.858918173367144e-08,2.7901472174352016e-09,5.896895913792832e-07,0.07803557316644234,17.41455842546411,0.9952684475727153
heat,0.1,100,layer0,uniform,4.3700134774726784e-08,2.7901472174352016e-09,5.896895913792832e-07,0.06970527568945852,15.662304304823541,0.9952684475727153
heat,0.1,100,layer0,random,4.517208472554213e-08,2.7901472174352016e-09,5.896895913792832e-07,0.07221328615949302,16.189857095449554,0.9952684475727153
heat,0.1,100,layer0,identity,4.0450718685747233e-07,2.7901472174352016e-09,5.896895913792832e-07,0.6844733687109379,144.97700491564353,0.9952684475727153
heat,0.1,100,layer0,frozen,4.3660320483973614e-08,2.7901472174352016e-09,5.896895913792832e-07,0.06963743733801822,15.648034702666216,0.9952684475727153
heat,0.1,100,layer0,original,2.7901472174352016e-09,2.7901472174352016e-09,5.896895913792832e-07,0.0,1.0,0.9952684475727153
heat,0.1,100,layer1,stencil,4.490981790894466e-07,2.7901472174352016e-09,5.896895913792832e-07,0.7604505956031098,160.95859612105806,0.9952684475727153
heat,0.1,100,layer1,acf,5.680258763351986e-08,2.7901472174352016e-09,5.896895913792832e-07,0.09203014409601275,20.358276179324594,0.9952684475727153
heat,0.1,100,layer1,xcorr,5.680195364066165e-08,2.7901472174352016e-09,5.896895913792832e-07,0.09202906385498591,20.358048953730815,0.9952684475727153
heat,0.1,100,layer1,uniform,4.336210107647176e-08,2.7901472174352016e-09,5.896895913792832e-07,0.06912931041701262,15.541151665943879,0.9952684475727153
heat,0.1,100,layer1,random,5.045969950212559e-08,2.7901472174352016e-09,5.896895913792832e-07,0.08122269114220639,18.08495952715709,0.9952684475727153
heat,0.1,100,layer1,identity,4.5350450017522803e-07,2.7901472174352016e-09,5.896895913792832e-07,0.7679583912393352,162.53783934458656,0.9952684475727153
heat,0.1,100,layer1,frozen,4.198664391164009e-08,2.7901472174352016e-09,5.896895913792832e-07,0.06678571105171426,15.048182278437494,0.9952684475727153
heat,0.1,100,layer1,original,2.7901472174352016e-09,2.7901472174352016e-09,5.896895913792832e-07,0.0,1.0,0.9952684475727153
heat,0.1,100,layer2,stencil,9.092366459739765e-07,2.7901472174352016e-09,5.896895913792832e-07,1.5444664461235584,325.8740758524483,0.9952684475727153
heat,0.1,100,layer2,acf,8.419773184220603e-08,2.7901472174352016e-09,5.896895913792832e-07,0.1387078918451339,30.176806197202545,0.9952684475727153
heat,0.1,100,layer2,xcorr,8.420064634417912e-08,2.7901472174352016e-09,5.896895913792832e-07,0.1387128577758433,30.177850766447808,0.9952684475727153
heat,0.1,100,layer2,uniform,6.644275368783426e-08,2.7901472174352016e-09,5.896895913792832e-07,0.1084557279847171,23.813350518798323,0.9952684475727153
heat,0.1,100,layer2,random,8.672169854451184e-08,2.7901472174352016e-09,5.896895913792832e-07,0.14300840145953692,31.081406028542602,0.9952684475727153
heat,0.1,100,layer2,identity,9.129599671808819e-07,2.7901472174352016e-09,5.896895913792832e-07,1.5508104991703673,327.2085291686171,0.9952684475727153
heat,0.1,100,layer2,frozen,4.188609467603577e-08,2.7901472174352016e-09,5.896895913792832e-07,0.06661438828662301,15.012145027436542,0.9952684475727153
heat,0.1,100,layer2,original,2.7901472174352016e-09,2.7901472174352016e-09,5.896895913792832e-07,0.0,1.0,0.9952684475727153
heat,0.1,100,layer3,stencil,3.468636290193672e-06,2.7901472174352016e-09,5.896895913792832e-07,5.905349165777141,1243.1732162800215,0.9952684475727153
heat,0.1,100,layer3,acf,4.810018195411381e-07,2.7901472174352016e-09,5.896895913792832e-07,0.8148102321116315,172.3929893503223,0.9952684475727153
heat,0.1,100,layer3,xcorr,4.809828301755026e-07,2.7901472174352016e-09,5.896895913792832e-07,0.8147778767127222,172.38618348519918,0.9952684475727153
heat,0.1,100,layer3,uniform,2.5581705481725336e-07,2.7901472174352016e-09,5.896895913792832e-07,0.4311248036044169,91.68586274541066,0.9952684475727153
heat,0.1,100,layer3,random,3.4342852472946106e-07,2.7901472174352016e-09,5.896895913792832e-07,0.5804033057119214,123.08616641567475,0.9952684475727153
heat,0.1,100,layer3,identity,3.498335768625793e-06,2.7901472174352016e-09,5.896895913792832e-07,5.955953198082087,1253.817628964246,0.9952684475727153
heat,0.1,100,layer3,frozen,3.513481239281191e-08,2.7901472174352016e-09,5.896895913792832e-07,0.055111085037008636,12.592458266452702,0.9952684475727153
heat,0.1,100,layer3,original,2.7901472174352016e-09,2.7901472174352016e-09,5.896895913792832e-07,0.0,1.0,0.9952684475727153
heat,0.1,101,all,stencil,1.33198141938351e-06,2.1845021785406316e-09,5.838582524120284e-07,2.28615597088777,609.7414012529607,0.99625850594812
heat,0.1,101,all,acf,5.465498729151363e-07,2.1845021785406316e-09,5.838582524120284e-07,0.9358603005861684,250.19424484175244,0.99625850594812
heat,0.1,101,all,xcorr,5.465360741752079e-07,2.1845021785406316e-09,5.838582524120284e-07,0.9358365781130074,250.18792818981038,0.99625850594812
heat,0.1,101,all,uniform,5.663014381873666e-07,2.1845021785406316e-09,5.838582524120284e-07,0.9698167328032005,259.23592283423005,0.99625850594812
