architecture,pde,r,condition,statistic,target,mean,ci_lo,ci_hi,n_seeds
control,heat,0.1,Heat .10,centrality,0.8,0.800000312226332,0.8000000743008991,0.8000005522332653,20
control,heat,0.25,Heat .25,centrality,0.5,0.4999998293199823,0.49999941834190836,0.5000002471950223,20
control,heat,0.4,Heat .40,centrality,0.19999999999999996,0.20000090470236662,0.2000003759954504,0.20000140294387098,20
control,lf,0.1,LF .10,asymmetry,-0.1,-0.10003008616143727,-0.10003744998946117,-0.10002555976335142,20
control,lf,0.25,LF .25,asymmetry,-0.25,-0.2501463673984971,-0.2501596527911814,-0.2501334636126563,20
control,lf,0.4,LF .40,asymmetry,-0.4,-0.4003485153144621,-0.4003771942459538,-0.4003193120944401,20
ordinary,heat,0.1,Heat .10,centrality,0.8,0.3351017793279757,0.333685430024918,0.3364997088072781,20
ordinary,heat,0.25,Heat .25,centrality,0.5,0.33470839432888677,0.33253639928629236,0.33663679734155805,20
ordinary,heat,0.4,Heat .40,centrality,0.19999999999999996,0.33499215769418306,0.3328445436610691,0.33709569383819477,20
ordinary,lf,0.1,LF .10,asymmetry,-0.1,0.00809490529082215,-0.04306027717850019,0.06446703561466377,20
ordinary,lf,0.25,LF .25,asymmetry,-0.25,0.0206789054068574,-0.03852539017873309,0.08538346114876126,20
ordinary,lf,0.4,LF .40,asymmetry,-0.4,0.14319782997267638,0.09808859722664098,0.19398248937050178,20
