pde,r,condition,intervention,architecture,substitution,mean_excess,ci_lo,ci_hi,n_seeds
heat,0.1,Heat .10,Ord. fixed,ordinary,frozen_per_head_validation,0.1154735319659053,0.09748100050487334,0.13300737811789196,20
heat,0.1,Heat .10,Ord. stencil,ordinary,analytical_stencil,20.19776614477818,12.623856706048223,28.193994502701354,20
heat,0.1,Heat .10,Control stencil,control,analytical_stencil,-1.7624246631119377e-11,-2.8098399581709714e-11,-9.392178602730635e-12,20
heat,0.25,Heat .25,Ord. fixed,ordinary,frozen_per_head_validation,0.18168862983048922,0.146448761415772,0.21681616014268779,20
heat,0.25,Heat .25,Ord. stencil,ordinary,analytical_stencil,26.481459244468248,19.700404884765494,33.589745797999235,20
heat,0.25,Heat .25,Control stencil,control,analytical_stencil,-7.664209514466354e-12,-1.429400375179586e-11,-3.0967999979984756e-12,20
heat,0.4,Heat .40,Ord. fixed,ordinary,frozen_per_head_validation,0.19485886772693908,0.15648965642433205,0.23569597029375228,20
heat,0.4,Heat .40,Ord. stencil,ordinary,analytical_stencil,29.639982858516532,21.975627798652212,37.372440997580725,20
heat,0.4,Heat .40,Control stencil,control,analytical_stencil,-5.4201768677523116e-12,-8.6039561679197e-12,-2.996699266132198e-12,20
lf,0.1,LF .10,Ord. fixed,ordinary,frozen_per_head_validation,0.07224404971793374,0.0457306033263087,0.10645308510317378,20
lf,0.1,LF .10,Ord. stencil,ordinary,analytical_stencil,6.209570292428976,3.2722734572165377,9.928240131291117,20
lf,0.1,LF .10,Control stencil,control,analytical_stencil,-7.615503002740024e-08,-1.2644221369047515e-07,-4.815870922270939e-08,20
lf,0.25,LF .25,Ord. fixed,ordinary,frozen_per_head_validation,0.028790674398380373,0.01189762596822625,0.05754879213323945,20
lf,0.25,LF .25,Ord. stencil,ordinary,analytical_stencil,2.8128937814609634,1.1269877209138257,5.470872441872867,20
lf,0.25,LF .25,Control stencil,control,analytical_stencil,-1.0444977513184133e-07,-1.2243229480207154e-07,-8.680377750383469e-08,20
lf,0.4,LF .40,Ord. fixed,ordinary,frozen_per_head_validation,0.01347389357994345,0.00801110062215957,0.02186280656588145,20
lf,0.4,LF .40,Ord. stencil,ordinary,analytical_stencil,2.264950424038254,1.1012112702986698,4.360765093155411,20
lf,0.4,LF .40,Control stencil,control,analytical_stencil,-1.1122381863396769e-07,-1.3117992427223758e-07,-9.318054612298017e-08,20
