pde,r,comparison,baseline,contrast,n_model_seeds,mean_log_mse_ratio,mean_log_mse_ratio_ci_lower,mean_log_mse_ratio_ci_upper,geometric_mean_mse_ratio,geometric_mean_mse_ratio_ci_lower,geometric_mean_mse_ratio_ci_upper,percent_mse_change,percent_mse_change_ci_lower,percent_mse_change_ci_upper,fraction_model_seeds_with_higher_mse,confidence_level,bootstrap_replicates,bootstrap_seed,resampling_unit
heat,0.1,acf,original,acf_vs_original,20,6.054233091208346,5.943109901908121,6.161100807376113,425.9121444046455,381.1183290749437,473.94951490155194,42491.21444046455,38011.83290749437,47294.951490155196,1.0,0.95,20000,20260824,model seed within PDE-parameter condition
heat,0.1,frozen,original,frozen_vs_original,20,4.190560879373239,4.022919053382245,4.3628615364927725,66.05983216887711,55.86393787024513,78.48139077489807,6505.983216887711,5486.393787024513,7748.139077489807,1.0,0.95,20000,20260824,model seed within PDE-parameter condition
heat,0.1,identity,original,identity_vs_original,20,8.00779590976027,7.59382925484289,8.39857111426935,3004.2880880293906,1985.9035030766163,4440.716935139475,300328.8088029391,198490.35030766163,443971.6935139475,1.0,0.95,20000,20260824,model seed within PDE-parameter condition
heat,0.1,random,original,random_vs_original,20,5.756621296792547,5.654020551745125,5.864199471257542,316.2779124291579,285.4367752179938,352.2000969238458,31527.791242915788,28443.677521799378,35120.009692384585,1.0,0.95,20000,20260824,model seed within PDE-parameter condition
heat,0.1,stencil,frozen,stencil_vs_frozen,20,3.810819349557955,3.279549355938707,4.329788463610346,45.187448018090926,26.563799183832064,75.92822328803581,4418.744801809093,2556.3799183832066,7492.822328803581,1.0,0.95,20000,20260824,model seed within PDE-parameter condition
heat,0.1,stencil,original,stencil_vs_original,20,8.001380228931193,7.589438923654079,8.394039792748659,2985.0752322149438,1977.2038401636335,4420.640140482675,298407.5232214944,197620.38401636336,441964.01404826745,1.0,0.95,20000,20260824,model seed within PDE-parameter condition
heat,0.1,uniform,original,uniform_vs_original,20,5.723594369661702,5.634371192662846,5.826146084355486,306.0028359321937,279.88286956421837,339.0494898066353,30500.28359321937,27888.286956421838,33804.948980663525,1.0,0.95,20000,20260824,model seed within PDE-parameter condition
heat,0.1,xcorr,original,xcorr_vs_original,20,6.0542324914930195,5.941289636144433,6.161656682765219,425.9118889786815,380.42522343822134,474.21304501072973,42491.188897868145,37942.52234382214,47321.30450107297,1.0,0.95,20000,20260824,model seed within PDE-parameter condition
heat,0.25,acf,original,acf_vs_original,20,6.466509820521355,6.373564482386629,6.567918690956242,643.2347997700957,586.1434075311157,711.8866440600493,64223.47997700957,58514.34075311157,71088.66440600493,1.0,0.95,20000,20260824,model seed within PDE-parameter condition
heat,0.25,frozen,original,frozen_vs_original,20,4.6864775308628115,4.544948634092778,4.84749180320988,108.47042236246733,94.15559069785576,127.42039328518126,10747.042236246733,9315.559069785575,12642.039328518127,1.0,0.95,20000,20260824,model seed within PDE-parameter condition
