pde,r,seed,comparison,baseline,contrast,mse_comparison,mse_baseline,mse_ratio,log_mse_ratio,percent_mse_change
heat,0.1,100,acf,original,acf_vs_original,1.344455357710217e-06,2.790147217435201e-09,481.8582149747949,6.177649910973789,48085.82149747949
heat,0.1,101,acf,original,acf_vs_original,5.465498729151363e-07,2.184502178540632e-09,250.19424484175238,5.5222375955370495,24919.424484175237
heat,0.1,102,acf,original,acf_vs_original,1.1356563272002518e-06,2.117937277813786e-09,536.2086682626025,6.284523391770783,53520.86682626025
heat,0.1,103,acf,original,acf_vs_original,8.351055904576299e-07,2.3464957650543013e-09,355.8947784584237,5.87463512103573,35489.47784584237
heat,0.1,104,acf,original,acf_vs_original,5.595082925857753e-07,2.155558802632851e-09,259.56531174300534,5.559008353956448,25856.531174300533
heat,0.1,105,acf,original,acf_vs_original,1.4286993685885818e-06,2.398134493070136e-09,595.7544802916931,6.389828636373054,59475.44802916931
heat,0.1,106,acf,original,acf_vs_original,1.1910250803381928e-06,2.625706644297787e-09,453.6017315280542,6.117219569707963,45260.17315280542
heat,0.1,107,acf,original,acf_vs_original,7.686780350013578e-07,1.166049286641102e-09,659.215732823435,6.491050844850865,65821.5732823435
heat,0.1,108,acf,original,acf_vs_original,1.583883335598557e-06,3.070564883085602e-09,515.8279977483874,6.24577337221528,51482.799774838735
heat,0.1,109,acf,original,acf_vs_original,9.997967254093965e-07,2.565162190298897e-09,389.75965308957655,5.965530275019445,38875.96530895765
heat,0.1,110,acf,original,acf_vs_original,6.095009155160369e-07,1.925007635066034e-09,316.62259640602883,5.757710516997419,31562.259640602882
heat,0.1,111,acf,original,acf_vs_original,1.0166513142451097e-06,1.9664238588151806e-09,517.0051765226585,6.248052887074664,51600.51765226585
heat,0.1,112,acf,original,acf_vs_original,7.505620533976298e-07,1.94201544775896e-09,386.48613957410106,5.957096005997899,38548.6139574101
heat,0.1,113,acf,original,acf_vs_original,7.669986765712622e-07,1.8004025453648152e-09,426.0151034255761,6.054474799691539,42501.51034255761
