pde,r,seed,reference_scope,scope_label,evaluation_scope,weighting,n_modes,mode_min,mode_max,rmse_reference,rmse_identity,delta_identity_minus_pde,closer_reference
heat,0.1,100,full_one_step,k1_5_empirical_power,empirical_training_spectrum_k1_5,empirical_training_power,5,1,5,0.0017950022135787,0.0041948550576998,0.0023998528441210995,PDE reference
heat,0.1,101,full_one_step,k1_5_empirical_power,empirical_training_spectrum_k1_5,empirical_training_power,5,1,5,0.0017552197700945,0.0043494770158651,0.0025942572457706,PDE reference
heat,0.1,102,full_one_step,k1_5_empirical_power,empirical_training_spectrum_k1_5,empirical_training_power,5,1,5,0.001952244498177,0.0041092184284789,0.0021569739303019,PDE reference
heat,0.1,103,full_one_step,k1_5_empirical_power,empirical_training_spectrum_k1_5,empirical_training_power,5,1,5,0.001522219723705,0.0044877617209078,0.0029655419972028003,PDE reference
heat,0.1,104,full_one_step,k1_5_empirical_power,empirical_training_spectrum_k1_5,empirical_training_power,5,1,5,0.0028549343812471,0.0035762492602508,0.0007213148790037004,PDE reference
heat,0.1,105,full_one_step,k1_5_empirical_power,empirical_training_spectrum_k1_5,empirical_training_power,5,1,5,0.002097059511092,0.0040256679095275,0.0019286083984355004,PDE reference
heat,0.1,106,full_one_step,k1_5_empirical_power,empirical_training_spectrum_k1_5,empirical_training_power,5,1,5,0.0013565312894867,0.00464800326846,0.0032914719789733002,PDE reference
heat,0.1,107,full_one_step,k1_5_empirical_power,empirical_training_spectrum_k1_5,empirical_training_power,5,1,5,0.0010034540813661,0.0049477432049167,0.0039442891235506004,PDE reference
heat,0.1,108,full_one_step,k1_5_empirical_power,empirical_training_spectrum_k1_5,empirical_training_power,5,1,5,0.0015637629940769,0.0044747400199716,0.0029109770258947004,PDE reference
heat,0.1,109,full_one_step,k1_5_empirical_power,empirical_training_spectrum_k1_5,empirical_training_power,5,1,5,0.0026019072532424,0.0036712721536889,0.0010693649004465,PDE reference
heat,0.1,110,full_one_step,k1_5_empirical_power,empirical_training_spectrum_k1_5,empirical_training_power,5,1,5,0.0017024477211627,0.0043723594810354,0.0026699117598727,PDE reference
heat,0.1,111,full_one_step,k1_5_empirical_power,empirical_training_spectrum_k1_5,empirical_training_power,5,1,5,0.0020968169813348,0.0040786193993218,0.001981802417987,PDE reference
heat,0.1,112,full_one_step,k1_5_empirical_power,empirical_training_spectrum_k1_5,empirical_training_power,5,1,5,0.0015034855173011,0.0045700169783517,0.0030665314610505996,PDE reference
heat,0.1,113,full_one_step,k1_5_empirical_power,empirical_training_spectrum_k1_5,empirical_training_power,5,1,5,0.0020490015786255,0.0041761413818446,0.0021271398032191,PDE reference
heat,0.1,114,full_one_step,k1_5_empirical_power,empirical_training_spectrum_k1_5,empirical_training_power,5,1,5,0.0017223915208689,0.0043217680427282,0.0025993765218592993,PDE reference
heat,0.1,115,full_one_step,k1_5_empirical_power,empirical_training_spectrum_k1_5,empirical_training_power,5,1,5,0.0012923667360611,0.0046680905252306,0.0033757237891695003,PDE reference
heat,0.1,116,full_one_step,k1_5_empirical_power,empirical_training_spectrum_k1_5,empirical_training_power,5,1,5,0.0017536382376293,0.0043197711928714,0.0025661329552421003,PDE reference
heat,0.1,117,full_one_step,k1_5_empirical_power,empirical_training_spectrum_k1_5,empirical_training_power,5,1,5,0.0020320714068152,0.0039926912081386,0.0019606198013234,PDE reference
heat,0.1,118,full_one_step,k1_5_empirical_power,empirical_training_spectrum_k1_5,empirical_training_power,5,1,5,0.0017390999265351,0.0043171249422474,0.0025780250157123002,PDE reference
heat,0.1,119,full_one_step,k1_5_empirical_power,empirical_training_spectrum_k1_5,empirical_training_power,5,1,5,0.0017088675505034,0.0043403487214059,0.0026314811709025002,PDE reference
heat,0.1,100,full_one_step,k1_5_uniform,in_support_k1_5,uniform,5,1,5,0.0044037033530956,0.0089487227776227,0.0045450194245271,PDE reference
heat,0.1,101,full_one_step,k1_5_uniform,in_support_k1_5,uniform,5,1,5,0.0044681635505626,0.0090484855390404,0.0045803219884778,PDE reference
heat,0.1,102,full_one_step,k1_5_uniform,in_support_k1_5,uniform,5,1,5,0.0047311532234725,0.0086531678191339,0.003922014595661399,PDE reference
heat,0.1,103,full_one_step,k1_5_uniform,in_support_k1_5,uniform,5,1,5,0.0037945967104891,0.0095883713522624,0.005793774641773299,PDE reference
heat,0.1,104,full_one_step,k1_5_uniform,in_support_k1_5,uniform,5,1,5,0.0072661406594618,0.0066736344617538,-0.0005925061977080006,identity
heat,0.1,105,full_one_step,k1_5_uniform,in_support_k1_5,uniform,5,1,5,0.0052977902379198,0.0082342611920796,0.0029364709541598,PDE reference
heat,0.1,106,full_one_step,k1_5_uniform,in_support_k1_5,uniform,5,1,5,0.0033603224534482,0.0100003938266369,0.0066400713731886996,PDE reference
heat,0.1,107,full_one_step,k1_5_uniform,in_support_k1_5,uniform,5,1,5,0.0024558152835987,0.0108645090937119,0.0084086938101132,PDE reference
heat,0.1,108,full_one_step,k1_5_uniform,in_support_k1_5,uniform,5,1,5,0.0038886800256234,0.0095030520967496,0.0056143720711262,PDE reference
heat,0.1,109,full_one_step,k1_5_uniform,in_support_k1_5,uniform,5,1,5,0.0065544251233394,0.0071268630422923,0.0005724379189528993,PDE reference
heat,0.1,110,full_one_step,k1_5_uniform,in_support_k1_5,uniform,5,1,5,0.0042503524315906,0.0091813599985739,0.004931007566983301,PDE reference
heat,0.1,111,full_one_step,k1_5_uniform,in_support_k1_5,uniform,5,1,5,0.0052879026559693,0.0082843580192896,0.0029964553633202995,PDE reference
heat,0.1,112,full_one_step,k1_5_uniform,in_support_k1_5,uniform,5,1,5,0.0037895940999804,0.0096637340098366,0.0058741399098562,PDE reference
heat,0.1,113,full_one_step,k1_5_uniform,in_support_k1_5,uniform,5,1,5,0.0052113538813165,0.0084257653145532,0.0032144114332366995,PDE reference
heat,0.1,114,full_one_step,k1_5_uniform,in_support_k1_5,uniform,5,1,5,0.0042411170233221,0.0091538209823928,0.0049127039590707005,PDE reference
heat,0.1,115,full_one_step,k1_5_uniform,in_support_k1_5,uniform,5,1,5,0.0031632465308519,0.0101554708353284,0.0069922243044765,PDE reference
heat,0.1,116,full_one_step,k1_5_uniform,in_support_k1_5,uniform,5,1,5,0.0043738176614911,0.0090561060264067,0.004682288364915599,PDE reference
heat,0.1,117,full_one_step,k1_5_uniform,in_support_k1_5,uniform,5,1,5,0.0049967544367179,0.0083871664552587,0.0033904120185408006,PDE reference
heat,0.1,118,full_one_step,k1_5_uniform,in_support_k1_5,uniform,5,1,5,0.0043551900811449,0.0090806790075751,0.0047254889264302,PDE reference
heat,0.1,119,full_one_step,k1_5_uniform,in_support_k1_5,uniform,5,1,5,0.004278756919992,0.0091441543529162,0.0048653974329241996,PDE reference
heat,0.1,100,full_one_step,k6_8_uniform,near_support_k6_8,uniform,3,6,8,0.0395425549598215,0.0076087860941717,-0.0319337688656498,identity
heat,0.1,101,full_one_step,k6_8_uniform,near_support_k6_8,uniform,3,6,8,0.0405974967341505,0.0068465553862041,-0.0337509413479464,identity
heat,0.1,102,full_one_step,k6_8_uniform,near_support_k6_8,uniform,3,6,8,0.0410049131304154,0.0061327640904906,-0.0348721490399248,identity
heat,0.1,103,full_one_step,k6_8_uniform,near_support_k6_8,uniform,3,6,8,0.0386685388184174,0.0085687183837234,-0.030099820434694,identity
heat,0.1,104,full_one_step,k6_8_uniform,near_support_k6_8,uniform,3,6,8,0.0394358707961148,0.0081023499826826,-0.0313335208134322,identity
heat,0.1,105,full_one_step,k6_8_uniform,near_support_k6_8,uniform,3,6,8,0.0394491677101255,0.0078706270515499,-0.0315785406585756,identity
heat,0.1,106,full_one_step,k6_8_uniform,near_support_k6_8,uniform,3,6,8,0.0390314290255849,0.0082710779983574,-0.030760351027227503,identity
heat,0.1,107,full_one_step,k6_8_uniform,near_support_k6_8,uniform,3,6,8,0.0384556258154139,0.0092129780936042,-0.029242647721809706,identity
heat,0.1,108,full_one_step,k6_8_uniform,near_support_k6_8,uniform,3,6,8,0.03843220091006,0.0087872998141469,-0.029644901095913098,identity
heat,0.1,109,full_one_step,k6_8_uniform,near_support_k6_8,uniform,3,6,8,0.0401081471154331,0.0071774564721314,-0.032930690643301695,identity
heat,0.1,110,full_one_step,k6_8_uniform,near_support_k6_8,uniform,3,6,8,0.0407616328456945,0.0070319712717615,-0.033729661573933,identity
heat,0.1,111,full_one_step,k6_8_uniform,near_support_k6_8,uniform,3,6,8,0.0396813738489883,0.0079431979454003,-0.031738175903588,identity
heat,0.1,112,full_one_step,k6_8_uniform,near_support_k6_8,uniform,3,6,8,0.0391010178118175,0.0081408979288032,-0.030960119883014295,identity
heat,0.1,113,full_one_step,k6_8_uniform,near_support_k6_8,uniform,3,6,8,0.0396680702215094,0.0075902939277889,-0.0320777762937205,identity
heat,0.1,114,full_one_step,k6_8_uniform,near_support_k6_8,uniform,3,6,8,0.039926504500025,0.0071746291014894,-0.0327518753985356,identity
heat,0.1,115,full_one_step,k6_8_uniform,near_support_k6_8,uniform,3,6,8,0.0386192403424024,0.0084878384877835,-0.0301314018546189,identity
heat,0.1,116,full_one_step,k6_8_uniform,near_support_k6_8,uniform,3,6,8,0.0399560780293606,0.0071393839523895,-0.032816694076971104,identity
heat,0.1,117,full_one_step,k6_8_uniform,near_support_k6_8,uniform,3,6,8,0.0395269321846174,0.0076560550702079,-0.0318708771144095,identity
heat,0.1,118,full_one_step,k6_8_uniform,near_support_k6_8,uniform,3,6,8,0.0392333019585938,0.0083877201870398,-0.030845581771553998,identity
heat,0.1,119,full_one_step,k6_8_uniform,near_support_k6_8,uniform,3,6,8,0.0386534376560457,0.0085595879837505,-0.030093849672295205,identity
heat,0.1,100,full_one_step,k9_32_uniform,spectral_extrapolation_k9_nyquist,uniform,24,9,32,0.2795879367503031,0.0093011008553977,-0.2702868358949054,identity
heat,0.1,101,full_one_step,k9_32_uniform,spectral_extrapolation_k9_nyquist,uniform,24,9,32,0.2825929398060247,0.0059072702734826,-0.2766856695325421,identity
heat,0.1,102,full_one_step,k9_32_uniform,spectral_extrapolation_k9_nyquist,uniform,24,9,32,0.2814710719667408,0.0072703606290978,-0.274200711337643,identity
heat,0.1,103,full_one_step,k9_32_uniform,spectral_extrapolation_k9_nyquist,uniform,24,9,32,0.279832514410951,0.0089716803289707,-0.2708608340819803,identity
heat,0.1,104,full_one_step,k9_32_uniform,spectral_extrapolation_k9_nyquist,uniform,24,9,32,0.2822494909371,0.0062628981050464,-0.2759865928320536,identity
heat,0.1,105,full_one_step,k9_32_uniform,spectral_extrapolation_k9_nyquist,uniform,24,9,32,0.2805057527227864,0.0082736042516724,-0.272232148471114,identity
heat,0.1,106,full_one_step,k9_32_uniform,spectral_extrapolation_k9_nyquist,uniform,24,9,32,0.2793851528760595,0.0095253764585669,-0.2698597764174926,identity
heat,0.1,107,full_one_step,k9_32_uniform,spectral_extrapolation_k9_nyquist,uniform,24,9,32,0.2805730134015535,0.0081013331174539,-0.27247168028409957,identity
heat,0.1,108,full_one_step,k9_32_uniform,spectral_extrapolation_k9_nyquist,uniform,24,9,32,0.2786233092289407,0.0103391404703013,-0.26828416875863936,identity
heat,0.1,109,full_one_step,k9_32_uniform,spectral_extrapolation_k9_nyquist,uniform,24,9,32,0.2815520441693442,0.0071069406795644,-0.2744451034897798,identity
heat,0.1,110,full_one_step,k9_32_uniform,spectral_extrapolation_k9_nyquist,uniform,24,9,32,0.2820067739646078,0.0065636411887668,-0.27544313277584104,identity
heat,0.1,111,full_one_step,k9_32_uniform,spectral_extrapolation_k9_nyquist,uniform,24,9,32,0.280826786305144,0.0078974648016989,-0.2729293215034451,identity
heat,0.1,112,full_one_step,k9_32_uniform,spectral_extrapolation_k9_nyquist,uniform,24,9,32,0.2802849578267576,0.0084671582574131,-0.2718177995693445,identity
heat,0.1,113,full_one_step,k9_32_uniform,spectral_extrapolation_k9_nyquist,uniform,24,9,32,0.281002737190721,0.0076849982226876,-0.2733177389680334,identity
heat,0.1,114,full_one_step,k9_32_uniform,spectral_extrapolation_k9_nyquist,uniform,24,9,32,0.2802258725755349,0.0085986809868458,-0.2716271915886891,identity
heat,0.1,115,full_one_step,k9_32_uniform,spectral_extrapolation_k9_nyquist,uniform,24,9,32,0.278733796233046,0.0102263662564898,-0.2685074299765562,identity
heat,0.1,116,full_one_step,k9_32_uniform,spectral_extrapolation_k9_nyquist,uniform,24,9,32,0.2803356634631804,0.0084860137376898,-0.2718496497254906,identity
heat,0.1,117,full_one_step,k9_32_uniform,spectral_extrapolation_k9_nyquist,uniform,24,9,32,0.2798213968379829,0.0090335530729717,-0.2707878437650112,identity
heat,0.1,118,full_one_step,k9_32_uniform,spectral_extrapolation_k9_nyquist,uniform,24,9,32,0.2803882845289698,0.0083593599485313,-0.2720289245804385,identity
heat,0.1,119,full_one_step,k9_32_uniform,spectral_extrapolation_k9_nyquist,uniform,24,9,32,0.278849236057812,0.0100987662742579,-0.2687504697835541,identity
heat,0.25,100,full_one_step,k1_5_empirical_power,empirical_training_spectrum_k1_5,empirical_training_power,5,1,5,0.0088298919040299,0.0076619922477626,-0.001167899656267301,identity
heat,0.25,101,full_one_step,k1_5_empirical_power,empirical_training_spectrum_k1_5,empirical_training_power,5,1,5,0.0069633883375965,0.0088735314923359,0.0019101431547393997,PDE reference
heat,0.25,102,full_one_step,k1_5_empirical_power,empirical_training_spectrum_k1_5,empirical_training_power,5,1,5,0.0086977392510879,0.0070509451775335,-0.0016467940735543996,identity
heat,0.25,103,full_one_step,k1_5_empirical_power,empirical_training_spectrum_k1_5,empirical_training_power,5,1,5,0.0063428249070802,0.0091737602783131,0.002830935371232899,PDE reference
heat,0.25,104,full_one_step,k1_5_empirical_power,empirical_training_spectrum_k1_5,empirical_training_power,5,1,5,0.0100798145686669,0.0070668732112839,-0.003012941357383,identity
heat,0.25,105,full_one_step,k1_5_empirical_power,empirical_training_spectrum_k1_5,empirical_training_power,5,1,5,0.0089287517666449,0.0070299066726965,-0.0018988450939484008,identity
heat,0.25,106,full_one_step,k1_5_empirical_power,empirical_training_spectrum_k1_5,empirical_training_power,5,1,5,0.0061311185501195,0.0091034919749909,0.0029723734248714006,PDE reference
heat,0.25,107,full_one_step,k1_5_empirical_power,empirical_training_spectrum_k1_5,empirical_training_power,5,1,5,0.0085759145537223,0.0076547937178211,-0.000921120835901199,identity
heat,0.25,108,full_one_step,k1_5_empirical_power,empirical_training_spectrum_k1_5,empirical_training_power,5,1,5,0.0059910954311029,0.0092796543650676,0.0032885589339646994,PDE reference
heat,0.25,109,full_one_step,k1_5_empirical_power,empirical_training_spectrum_k1_5,empirical_training_power,5,1,5,0.0082315200287577,0.0076277207094507,-0.0006037993193070005,identity
heat,0.25,110,full_one_step,k1_5_empirical_power,empirical_training_spectrum_k1_5,empirical_training_power,5,1,5,0.0074123632298454,0.008275160972109,0.0008627977422635998,PDE reference
