pde,r,comparison,baseline,contrast,n_model_seeds,n_mse_higher,n_mse_lower,n_mse_equal,mean_log_mse_ratio,mean_log_mse_ratio_ci_lower,mean_log_mse_ratio_ci_upper,geometric_mean_mse_ratio,geometric_mean_mse_ratio_ci_lower,geometric_mean_mse_ratio_ci_upper,mean_raw_mse_difference,mean_raw_mse_difference_ci_lower,mean_raw_mse_difference_ci_upper,mean_excess_difference,mean_excess_difference_ci_lower,mean_excess_difference_ci_upper,mean_excess_comparison,mean_excess_baseline,confidence_level,bootstrap_replicates,bootstrap_seed,resampling_unit,calibration_split,evaluation_split
heat,0.1,analytical_stencil,frozen_per_head_validation,analytical_stencil_vs_frozen_per_head_validation,20,20,0,0,4.714464512975444,4.334074826621087,5.075809580793582,111.54906210235234,76.2543777245983,160.10175483224228,1.1304932789439615e-05,7.213102926931659e-06,1.5709786511946976e-05,20.082292612812275,12.747465055769737,28.048688341875867,20.19776614477818,0.1154735319659053,0.95,20000,20260824,model seed within PDE-parameter condition,validation,test
heat,0.1,frozen_layer_mean_validation,frozen_per_head_validation,frozen_layer_mean_validation_vs_frozen_per_head_validation,20,20,0,0,0.9363627194013823,0.7218584320376152,1.1559386384503163,2.5506869611050185,2.058254785109997,3.177004076611267,1.0009582201292444e-07,7.834002131492866e-08,1.2204447329258736e-07,0.17521571964158106,0.1346383400616147,0.2171326631076767,0.2906892516074864,0.1154735319659053,0.95,20000,20260824,model seed within PDE-parameter condition,validation,test
heat,0.1,frozen_per_head_validation,original,frozen_per_head_validation_vs_original,20,20,0,0,3.284693291976022,3.160134270921298,3.39527666142617,26.70079371121124,23.573760987181945,29.822903180624255,6.54488967509817e-08,5.626307996964037e-08,7.385074188639007e-08,0.1154735319659053,0.0979516010283022,0.13303185127701725,0.1154735319659053,0.0,0.95,20000,20260824,model seed within PDE-parameter condition,validation,test
heat,0.25,analytical_stencil,frozen_per_head_validation,analytical_stencil_vs_frozen_per_head_validation,20,20,0,0,4.805599933183998,4.548871738935756,5.040263712126946,122.19277653726701,94.52569846281229,154.5107560138129,3.6334029131278744e-05,2.719718695724244e-05,4.5930495540897754e-05,26.299770614637755,19.466521432628515,33.24038064163592,26.481459244468248,0.18168862983048922,0.95,20000,20260824,model seed within PDE-parameter condition,validation,test
heat,0.25,frozen_layer_mean_validation,frozen_per_head_validation,frozen_layer_mean_validation_vs_frozen_per_head_validation,20,18,2,0,0.5926981809713681,0.3056341649657423,0.9344423926538008,1.8088624752035598,1.3574855999061406,2.545793508726427,1.6455835811406486e-07,9.038196661645362e-08,2.47656242544512e-07,0.11541814907093655,0.06255016210115814,0.17957006195103253,0.2971067789014257,0.18168862983048922,0.95,20000,20260824,model seed within PDE-parameter condition,validation,test
heat,0.25,frozen_per_head_validation,original,frozen_per_head_validation_vs_original,20,20,0,0,4.129152887784386,3.935078195849769,4.299509151803971,62.12527355981402,51.16615078087113,73.66362716567573,2.5244869639859046e-07,2.0323237289158852e-07,3.0324995505213595e-07,0.18168862983048922,0.14677694465634178,0.21678247150633903,0.18168862983048922,0.0,0.95,20000,20260824,model seed within PDE-parameter condition,validation,test
heat,0.4,analytical_stencil,frozen_per_head_validation,analytical_stencil_vs_frozen_per_head_validation,20,20,0,0,4.908149315896431,4.658486248444386,5.12023022999826,135.38862084181687,105.4762963414907,167.37389967817805,6.54899616066481e-05,4.831487314203218e-05,8.3118087580252e-05,29.445123990789597,21.872045431216744,37.33411560874683,29.639982858516532,0.19485886772693908,0.95,20000,20260824,model seed within PDE-parameter condition,validation,test
heat,0.4,frozen_layer_mean_validation,frozen_per_head_validation,frozen_layer_mean_validation_vs_frozen_per_head_validation,20,17,3,0,0.5702383111483709,0.333499313055357,0.8248598728134354,1.7686884994012686,1.3958440876735723,2.2815610341996173,2.6477251791712056e-07,1.615384205140341e-07,3.789601532600645e-07,0.12869826876663246,0.07379430723636997,0.19107042707901137,0.32355713649357154,0.19485886772693908,0.95,20000,20260824,model seed within PDE-parameter condition,validation,test
heat,0.4,frozen_per_head_validation,original,frozen_per_head_validation_vs_original,20,20,0,0,4.390155210076894,4.139180901444653,4.628783639617068,80.65293615747858,62.75140081104106,102.38944586992626,4.3052819554260417e-07,3.398818337728242e-07,5.259109960567001e-07,0.19485886772693908,0.15601267945763586,0.23496961573630623,0.19485886772693908,0.0,0.95,20000,20260824,model seed within PDE-parameter condition,validation,test
lf,0.1,analytical_stencil,frozen_per_head_validation,analytical_stencil_vs_frozen_per_head_validation,20,20,0,0,4.282978300134741,4.024328031911102,4.553846343355661,72.45591443401358,55.9427044364112,94.99709796106276,2.8617777527200055e-05,1.3951802292643437e-05,4.6673783445094144e-05,6.137326242711043,3.1968496569514517,9.838331161516614,6.209570292428976,0.07224404971793374,0.95,20000,20260824,model seed within PDE-parameter condition,validation,test
lf,0.1,frozen_layer_mean_validation,frozen_per_head_validation,frozen_layer_mean_validation_vs_frozen_per_head_validation,20,20,0,0,2.2623550614418635,1.8267918098158604,2.678659245694805,9.605684526842193,6.213919211348034,14.565551372638943,1.7398639779132082e-06,1.4036175329389416e-06,2.0754374054542525e-06,0.438800040083021,0.3452402269199021,0.5327206836418201,0.5110440898009547,0.07224404971793374,0.95,20000,20260824,model seed within PDE-parameter condition,validation,test
lf,0.1,frozen_per_head_validation,original,frozen_per_head_validation_vs_original,20,20,0,0,3.663847555711734,3.330354651335537,3.998674289591176,39.01115206786698,27.94825183065033,54.52581665449314,3.0448163954022427e-07,1.8420400537831206e-07,4.5217858088852184e-07,0.07224404971793374,0.046010254397494635,0.10714989518708255,0.07224404971793374,0.0,0.95,20000,20260824,model seed within PDE-parameter condition,validation,test
lf,0.25,analytical_stencil,frozen_per_head_validation,analytical_stencil_vs_frozen_per_head_validation,20,20,0,0,4.560089594340864,4.39953899917937,4.74413388640587,95.59204395258188,81.41332840138355,114.90823880359227,3.6813389941368686e-05,1.1602588860327575e-05,7.876611372194154e-05,2.7841031070625837,1.1146311012687242,5.41392678134245,2.8128937814609634,0.028790674398380373,0.95,20000,20260824,model seed within PDE-parameter condition,validation,test
lf,0.25,frozen_layer_mean_validation,frozen_per_head_validation,frozen_layer_mean_validation_vs_frozen_per_head_validation,20,20,0,0,3.7151344902698753,3.2624578332990093,4.063871523015833,41.06410943619339,26.113641308737364,58.19919499937255,6.67599400438661e-06,5.921115284721314e-06,7.398555793431669e-06,0.6333723057863567,0.5630781138235941,0.695614084043502,0.6621629801847371,0.028790674398380373,0.95,20000,20260824,model seed within PDE-parameter condition,validation,test
lf,0.25,frozen_per_head_validation,original,frozen_per_head_validation_vs_original,20,20,0,0,3.387650107887329,3.0785000885681124,3.784612165951888,29.59632232658303,21.725791182783194,44.01859533776586,3.79032430490242e-07,1.249868837999602e-07,8.333525938484185e-07,0.028790674398380373,0.01188339586163958,0.05756885526915634,0.028790674398380373,0.0,0.95,20000,20260824,model seed within PDE-parameter condition,validation,test
lf,0.4,analytical_stencil,frozen_per_head_validation,analytical_stencil_vs_frozen_per_head_validation,20,20,0,0,4.962032767507941,4.689821249676258,5.250779877438909,142.88395074087853,108.8337240052023,190.71494475912863,5.3797594297148345e-05,2.77498963752091e-05,0.0001006060545574177,2.251476530458311,1.0923963531344902,4.340893147763325,2.264950424038254,0.01347389357994345,0.95,20000,20260824,model seed within PDE-parameter condition,validation,test
lf,0.4,frozen_layer_mean_validation,frozen_per_head_validation,frozen_layer_mean_validation_vs_frozen_per_head_validation,20,20,0,0,4.3281428022903565,3.8853797840100897,4.705830648910733,75.80337390595103,48.68542889626083,110.59010835872999,1.8950298257774903e-05,1.6343421995614646e-05,2.142668573616438e-05,0.7432490362101016,0.6625528794152503,0.808234178628752,0.7567229297900451,0.01347389357994345,0.95,20000,20260824,model seed within PDE-parameter condition,validation,test
lf,0.4,frozen_per_head_validation,original,frozen_per_head_validation_vs_original,20,20,0,0,3.1191531481471504,2.802861926012936,3.482340789568791,22.627209632839282,16.491777543687657,32.53579245234237,3.2757864710159825e-07,2.0291824429996574e-07,5.195851981618828e-07,0.01347389357994345,0.008005735621538187,0.02174705715614723,0.01347389357994345,0.0,0.95,20000,20260824,model seed within PDE-parameter condition,validation,test
